reviewer,ratings,tilte,review_link,review_date_place,variant_name,variant_link,verified,review_body,helpful,review_comments
Pallavi,1.0 out of 5 stars,Hardware issue. Almost zero sound from right side earphone.,https://www.amazon.in/gp/customer-reviews/RGA03TXCHEO89/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 20 May 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Very bad experience.....After using the sennheiser headphones for hardly a month , i observed that the voice from the right side earphone was almost zero whereas the left side earphone is working fine. This hardware issue wasnt expected from one of the best brand.","1,259 people found this helpful",14
Meghraj Patil,5.0 out of 5 stars,Just go for it <3,https://www.amazon.in/gp/customer-reviews/RD00SGIUBXWIR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 17 June 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Ok its been almost 1 year...and not a single issue with this earphones... Really impressive <3Editited :after 1.2 years of use it started giving me a problem so i placed it for replacement without original box i sent it with original bill though and i got new branded earphone i am really happy with Sennheiser service.,920 people found this helpful,5
SACHIN VAGHELA,5.0 out of 5 stars,Worth Buying,https://www.amazon.in/gp/customer-reviews/R2QGSFTWX1PZMT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 13 August 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"Hello,I was confused while buying new earphones and choosing between 1more Piston  & Sennheiser CX 180. But after continuos research of 3-4 days I decide to go with CX 180.When this product arrived, I first checked for the Originality of it. Thanks to Amazon Service, I found that Product was Original.Pros:-Balanced Sound Quality.-Light Weight Plugs.-Matte Finish helps the earphone look fresh and new for a long time.-This is not an angled earphone, so if you are a person like me who often breaks earphones. Do not worry, this comes out very easily with little force, so whenever you are likely to break this earphone by mistake, this earphones will come out and save you some money.cons:- Tangles.Thank You.",641 people found this helpful,4
Shrinath V,5.0 out of 5 stars,Great pair of earphones,https://www.amazon.in/gp/customer-reviews/R1Y7HCEXEA9VHL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 16 January 2019,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I usually don't write reviews, but I've bought two of these and haven't been disappointed.The sound quality is good, but for me, the best feature no one seems to talk about is the mic. I take a lot of calls, and though this doesn't have noise cancellation, it works very well for making calls in noisy environments. I rarely get complaints that others are not able to hear me or of traffic noise disrupting calls (a perennial problem in India). I'm able to take conference calls when travelling, which is a huge plus. The build quality is good. There is a problem that the wire connecting the audio input is weak and tends to break if not stored carefully. I've had that problem once, but Sennheiser replaced this without question. I've started storing the pair in the pouch they supply and have not had issues later.The pouch really keeps things secure. A couple of days ago, I forgot to take it out of my shirt before putting it into the washing machine. I later realized this and picked it from the shirt pocket after the washing cycle, dried the pair and found that it worked as usual - a huge relief.I'm not a huge audiophile and don't wax eloquent on basss/treble reproduction and the like, but for me, this is a great pair for my use cases - good music playback, great service and ability to make calls on the street. I find very few reviews focussing on these, so wanted to highlight these for prospective buyers.",454 people found this helpful,6
Aditya Prakash (Aadi...),5.0 out of 5 stars,Addictive 😎,https://www.amazon.in/gp/customer-reviews/R2QD0VPCJF2AVL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 14 July 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Very good balance in bass and treble. Reflecting true music.Another Best thing  about this earphone has its.. noise cancellation and soft ear buds and extra L- shaped 3.5 mm jack.Wire quality is sturdy.Call quality is also crystal clear.,182 people found this helpful,0
Sumita Sirker,1.0 out of 5 stars,Sound from 1 earbud stopped,https://www.amazon.in/gp/customer-reviews/RX8JHMV4WQ11V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 2 October 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Not even 1 year after I purchased this suddenly out of no where 1 side earphone stopped working. It was working fine till midnight I kept it properly and when I started using it again no sound was coming from 1 of the earbuds. No expected such a poor durability from sennheiser. I have kept my earphones safely eer since day. There’s no chance of any physical damage in the wiring.,172 people found this helpful,2
mahesh t.,5.0 out of 5 stars,Best headphones for price 1300,https://www.amazon.in/gp/customer-reviews/R2M5MJIYHEYVZF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 9 August 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,Bought these headphones in September 2016. the photos i uploaded are from august 2018.i am writing this review after using these headphones for 2 years😅😅.I am a kind of rough user and still this lasted for more than 2 years.and today it broke becuase of my mistake...or else maybe it would have worked for atleast a year.Pros-Best headphone in a price rangeBest music outputBest voice qualityBest for receiving callsUsed them even in moderate rain(dont do it)Cons-Built quality is decent but it could be better as the wire started break after 1.5 years but still this baby worked as a charmSo you can buy it over mi headphones or boat as music isnt that sharp on them but built quality is good.Once again the the photos uploaded abover are after 2 years of rough usage...U should give it a try...,929 people found this helpful,3
Krish,5.0 out of 5 stars,"Excellent product but cable quality could be better,",https://www.amazon.in/gp/customer-reviews/R272CWB7LMWQYX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 4 November 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I have used wide ranges of earphones over years, some brands being Skullcandy (Smokin Buds 2), JBL (T 210), Sennheiser (HD 180, HD 210, CX 271, CX400 II Precision, CX 185 Street II, and now CX 275 S) Fiio (f1), Koss (Porta Pro) Audio Technica (ATHCOR150RD),First off there is a large difference between CX 185 Street II and CX 275 S don't even compare, CX 185 has too much of treble with very low bass, CX 275 S is very well balanced, CX 275 S reminds me of my CX 271 which I used for 7 years, its wire was of great quality and tangle free, I would have easily paid an extra 1k for that kind of cable,To anyone looking to buy earphones, go for Audio Technica>JBL if your budget is below 1k and Sennheiser CX 275 S if you just need the best audio output, and regarding other earphones I've used JBL has decent output, and regarding Fiio f1 it is just a piece of crap, it was an impulsive decision I made based just on the brand without any research, don't throw your money in garbage buying it, finally make sure you buy it from a well rated seller.",113 people found this helpful,0
Karthick,1.0 out of 5 stars,Nonexistent Sennheiser CS team,https://www.amazon.in/gp/customer-reviews/R35JDVOQJ3GNXS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 27 February 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I bought this headphone two months back. Despite careful use, right side audio quality has deteriorated. Sennheiser's CS toll-free number does not work. Have mailed CS team, awaiting their reply.",138 people found this helpful,4
Anurag Karmakar,5.0 out of 5 stars,Awesome thanks!,https://www.amazon.in/gp/customer-reviews/R14XSY8NZXRJVA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 19 November 2018,Style name: CX 275s,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B008V6T1IW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,One of the best headphone in my budget.,90 people found this helpful,0
Deepa kaarthick,5.0 out of 5 stars,Best headphone at this price range💰💰💰,https://www.amazon.in/gp/customer-reviews/R1VQPER9VPN1I3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 28 January 2019,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"🎧 Excellent Sound quality, Highly durable, Best headphone at this price range👍👍👌🎧 Using this more than a year.. and this is my second headphone.. the first one i lost it somewhere in 3months.. with no second thought i jus purchased the same.. its such a high quality headphones..👌🎧 Sound clarity and bass are really gud..🎧 Am using it very roughly bt no issues till now.. its highly durable..🎧 Comes with small earpieces and it fits well on my ears..🎧 Ear buds are soft and its comfortable for long time usage.. additional ear buds are included..🎧 High quality headphones at very cheaper price.. bought this headphones @ Rs.599 oly..🎧 Comes with 2 years warranty which yu wont get with any other headphone at this price..Cons:🎧 Wires are thin and it gets twisted easily. since, it is not tangle-free..🎧 No microphones..",50 people found this helpful,0
Arjun,4.0 out of 5 stars,Good product. But not for bass lovers,https://www.amazon.in/gp/customer-reviews/R2IVYSC3VJ4ZWL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00D75AB6I,Reviewed in India on 27 September 2018,Style name: CX 180,https://www.amazon.in/Sennheiser-CX-180-Street-II/product-reviews/B00D75AB6I/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,Verified Purchase,"I purchased this earphone one year back. From my experience, this is worth buying. I use this almost everyday and it still is in good shape. It still works like heaven. But the bass end is totally plain. If you are a bass lover this one is not for you. The high, mid and low freq are clean. If u can tweak the equaliser in your device then u can get some amount of bass. High and mid freq are the best from this. So in short a very good product, but not for basslovers.Regards",54 people found this helpful,2
