product_name	no_of_stars	review_title	review_date	review_place	review_helpful	review_body
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	5	Kusdos !!	2017-06-19	India	100	   Used it after cleaned chains with c1 chain clean and it's must. Use this only after you remove dirt from chains. Because this is like a sticky covering lube. Don't ride after applying lube. Leave it for 5-7 hrs to reach every part of chain. Better use hand to rotate tyre and apply. Never use it in 1st gear vehicle on mode.As it is sticky Lube, Best in Rainy season. Using it for my RE Classic 350. 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	1	Disappointed got a broken peice with leakage and no return policy	2018-07-09	India	67	   The cap was broken and it was sticky all inside the packageThe product is not returnable 😐1st time heart "breaking" service by Amazon 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	4	Best chain lube!	2019-04-15	India	30	   I have been using Motul Chain Lube for 6 years. I have tried various brands and I always get back to Motul.Tip: For best results, first use a chain cleaner (you can use motul cleaner, diesel, WD40, etc.). Then use a grunge brush to thoroughly clean the grime off the chain. Spray water and clean with a cloth to remove all dirt/grease. Now, do not straight away spray the chain lube! This is why many people complain that the lube does not work properly. You need to warm up the chain a bit. Ride 200~300 mts before lubing. If you can manage to do it carefully, you can even shift to first gear while on center stand or paddock, and wait for a while. After this, apply the lube. Since it was warmed up, it sticks in a better manner. You need to primarily spray on the 'O Rings', and not on the sides of the chain. Once applied, wipe off the excess on the sides, and ride for a while so that it evenly settles.Pros:1. My favorite feature of Motul lube is the quality of the spraycan and also the provision of two different type of applicators. I use both the short and long applicators extensively.2. If you know how chain lubes work, and where to apply it, you need to apply very little. I am happy that applying two coats lasts upto 400kms for me under normal conditions. I have seen people spray the lube all over the chain, and complain saying it's too sticky, or that they need to use a lot. The lube is primarily for the 'O Rings' only. If you spray too much on the sides, dirt particles will also end up sticking to the chain.3. The lube is very sticky. This is how it should be! It sticks well to the O Rings and doesn't lose its strength even after multiple washes (provided you don't use a power wash on it).Cons:1. I wish the quantity provided was more.>> Product recommended. 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	5	Original product with neat packing	2017-07-03	India	37	   I got it in a deal for 362. Regarding product, its orginal and new one (i recieved april 2017 batch). Pakaging was ok. Because they just packed in a carton no bubble wrap. May be because of these some guys received leaked bottle. In my case it was intact. Product is good enough for motorcycle with less than 80bhp. Supersport may need professional type lubes. Easily last 500km if you apply it after a good cleaning and give time to penetrate lube. So one 400ml bottle is enough for atleast 10k kms to 15k kms. 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	1	Don't get deceived by the positive reviews	2018-09-28	India	13	   The product such a slicker. In the beginning, you'll find that you are saving a lot of money just by cleaning and oiling with MOTUL spray. The aftermath is unexpected. The chain ages very faster. You need to change the chain and sprockets within 2 years itself. The slowly loses its ability to sustain the lubrication and ends its life.I'm one of the victims. I have used the 3M lubricant also. Even that is also not good.The best option is to lubricate the chain is to apply the grease after cleaning with Kerosene or Diesel. 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	4	Convenience over Gear Oil (though Gear oil does the same job much cheaply)	2018-10-25	India	10	   Nice product. Have been using to lubricate my bike's sealed O-Ring chain every 400 kms or so, after cleaning it with diesel. The product provides lubrication just like SAE -90/ EP-90 gear oil (some use SAE/EP-120 grade too) but scores over it in the following areas-  Ease of transportation/ carriage , especially on long rides. The package, being pressurised and in a can , can be transported with ease-  Lesser residue on the wheels thrown out by a moving chain.  The Gear Oil, though a lot cheaper and giving the same amount of lubrication, tends to soil the wheels.All in All a good product, though somewhat costly. I picked it up for its ease of carriage. When I'm touring, it's handy. All other times SAE -90 or SAE 120 gear oil does the duty perfectly . Here's a link of the same product at Amazonhttps://www.amazon.in/HP-Lubricants-Gear-Drive-EP-140/dp/B01M7PBFT0/ref=sr_1_11?s=automotive&ie=UTF8&qid=1540443880&sr=1-11&keywords=gear+oiland thishttps://www.amazon.in/HP-Lubricants-Gear-Drive-EP-140/dp/B01M7PBFT0/ref=sr_1_11?s=automotive&ie=UTF8&qid=1540443880&sr=1-11&keywords=gear+oil 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	1	Bad Experience	2019-03-02	India	5	   Firstly I wanted to say MOTUL is a brand product.There is no doubt that the quality of the product will be cheap but just I wanted to share my experience after purchase of this product almost after 2 months I have opened it to use to lube my bike chain when I use that I found that there was a leakage all the liquid came out while spraying not from the nozzle but it was a leakage from somewhere else I think somewhere someone is cheating or Amazon not checking properly there quality checkers are not doing their work properly there should be some law if a customer faces this kind of tissue should be resolved while buying this product there was a detail not detail but not some note was mentioned that this product is non returnable but what if customer getting a damaged product what customer will do because he has already paid for it and getting the defective product. 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	5	Perfect product for chain lunging.	2019-04-27	India	4	   I own a Dominar 400, used to take to showroom for chain spray wvwry time. They use OKS brand chain spray in Bajaj Showroom, Its available in Amazon too foe the same cost but comes a bit large (100ml more). I had plans of getting OKS at first but it was out of stock LUCKILY and I ended up buying Motul C2 insted. Guess what! My bike used to vibrate at 80-95km/hr speed. Its gone... Mann!! I wish I could have realised its my chain that was the reson for vibration. BIG THUMS UP. Follow me on YouTube : SWAGAT VLOGS ;) Iwill take you places you never have been before 😉 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	4	Nice product but bit sticky in comparison to similar products from competition	2018-03-17	India	8	   Motul being well known brand needless to say its a good product. HAve used this on RE Bullet 500, have found it bit sticky if compared with 3M chain lube and RE's chain lube. Currently using RE chain lube as it is not that sticky thereby dust accumulation on the chain is less. 
Motul_102981_C2_Chain_Lube_for_bikes_(400_ml)	5	Excellent product. Sufficient quantity for the price	2017-01-02	India	7	   Excellent product. Sufficient quantity for the price. But remeber to purchase chain cleaner atlest 400 ml not 150 ml because 150 ml is insufficient according to me. If you find rim to be sticky because of this lubricant purchase Dazlo universal cleaner from Amazon itself. Its soap based liquid cleans the sticky lubricant on rim effectively. Happy shopping and happy biking everyone. Atlast thank you Amazon and Motul. 
